Species Name,Description
Agonidae,"Agonidae is a family of small, bottom-dwelling, cold-water marine fish. Common names for members of this family include poachers, Irish lords, sea ravens, alligatorfishes, starsnouts, hooknoses, and rockheads. They are notable for having elongated bodies covered by scales modified into bony plates, and for using their large pectoral fins to move in short bursts. The family includes about 59 species in some 25 genera, some of which are quite widespread. The pelvic fins are nearly vestigial, typically consisting of one small spine and a few rays."
Ailiidae,"Ailiidae is a family of catfishes native to Asia. These fishes usually have dorsal fins with a short base and a spine, but Ailia lack a dorsal fin altogether."
Akysidae,The stream catfishes make up the family Akysidae of catfishes.
Albulidae,"Albulidae is a family of fish, commonly known as the bonefishes, that are popular as game fish in Florida, select locations in the South Pacific and the Bahamas (where two bonefish are featured on the 10-cent coin) and elsewhere. The family is small, with 11 species in 3 genera. Presently, the bonefishes are in their own order: Albuliformes . The families Halosauridae and Notacanthidae were previously classified in this order, but are now, according to FishBase, given their own order Notacanthiformes. The largest bonefish caught in the Western Hemisphere is a 16-pound, 3 ounce example caught off Islamorada, Florida, on March 19, 2007."
Alepisauridae,"Lancetfishes are large oceanic predatory ray-finned fishes in the genus Alepisaurus (""scaleless lizard"") in the monogeneric family Alepisauridae. Lancetfishes grow up to 2 m (6.6 ft) in length. Very little is known about their biology, though they are  widely distributed in all oceans, except the polar seas. Specimens have been recorded as far north as Greenland. They are often caught as bycatch by vessels long-lining for tuna."
Alepocephalidae,"Slickheads, also known as nakedheads or smoothheads, are deep water fishes that belong to the family Alepocephalidae. They are most commonly found in the bathypelagic layer, which is approximately 3000m below the surface. They get their name from the lack of scales on their heads. Similarly, the scientific name is from the Greek ᾰ̓- (a-, ""not""); λέπος (lepos, ""scale""); and κεφαλή (kephalē, ""head""). It has about 22 genera with ca."
Alestidae,"African tetras (family Alestidae, formerly spelled Alestiidae) are a group of characiform fish found exclusively in Africa. This family contains about 18 genera and 119 species. Among the best known members are the Congo tetra and African tigerfish; both are kept in aquaria, and tigerfish are utilized for food and as gamefish. Although currently native only to African waterways, fossil evidence suggests that during the Paleogene, they ranged as far north as southern Europe and as far east as the Arabian subcontinent. Fossil remains date back to potentially the Late Paleocene with Hydrocynus remains known from Algeria."
Alopiidae,"Alopiidae is a family of large mackerel sharks (order Lamniformes). The only extant genus is the thresher shark (Alopias). The extinct genera Anotodus, Paranomotodon, and Trigonotodus have been proposed as members of this family. It is believed that thresher sharks originated from a common ancestor that appeared in the Late Cretaceous, at least 70 million years ago. The first thresher sharks of the genus Alopias appeared about 50 million years ago."
Ambassidae,"The Asiatic glassfishes are a family, the Ambassidae, of freshwater and marine ray-finned fishes. Some species are known as perchlets. The family has also been called Chandidae, and some sources continue to use the name, but as Ambassidae was used earlier, it has precedence over Chandidae, which was first used in 1905."
Amblycipitidae,"The Amblycipitidae are a family of catfishes, commonly known as torrent catfishes. It includes four genera, Amblyceps, Liobagrus, Proliobagrus and Xiurenbagrus, and about 50 species."
Amblyopsidae,"The Amblyopsidae are a fish family commonly referred to as cavefish, blindfish, or swampfish. They are small freshwater fish found in the dark environments of caves (underground lakes, pools, rivers and streams), springs and swamps in the eastern half of the United States. Like other troglobites, most amblyopsids exhibit adaptations to these dark environments, including the lack of functional eyes and the absence of pigmentation. More than 200 species of cavefishes are known, but only six of these are in the family Amblyopsidae. One of these, Forbesichthys agassizii, spends time both underground and aboveground."
Amiidae,"The Amiidae are a family of basal ray-finned fishes. The bowfin and the eyespot bowfin (Amia ocellicauda) are the only two species to survive today, although additional species in all four subfamilies of Amiidae are known from Jurassic, Cretaceous, and Eocene fossils. Bowfins are now found throughout eastern North America, typically in slow-moving backwaters, canals, and ox-bow lakes. When the oxygen level is low (as often happens in still waters), the bowfin can rise to the surface and gulp air into its swim bladder, which is lined with blood vessels and can serve as a primitive lung. Amiidae is a monophyletic group that has numerous synapomorphic characters."
Ammodytidae,"A sand lance or sandlance is a ray-finned fish belonging to the family Ammodytidae. Several species of sand lances are commonly known as ""sand eels"", though they are not related to true eels. Another variant name is launce, and all names of the fish are references to its slender body and pointed snout. The family name (and genus name, Ammodytes) means ""sand burrower"", which describes the sand lance's habit of burrowing into sand to avoid tidal currents. Sand lances are most commonly encountered by fishermen in the North Pacific and North Atlantic, but are found in oceans throughout the world."
Amphiliidae,"The loach catfishes are a family, Amphiliidae, of catfishes (order Siluriformes). They are widespread in tropical Africa, but are most common in streams at high elevations; most species are able to cling to rocks in fast-flowing streams. The 13 genera contain 68 species. The family Amphiliidae has three subfamilies, Amphiliinae, Leptoglanidinae (previously misspelled Leptoglaninae), and Doumeinae. The monophyly of Amphiliidae has been questioned; one author restricts the family to the members of the subfamily Amphiliinae and transferred the other genera to a family Doumeidae."
Anabantidae,"The Anabantidae are a family of ray-finned fish within the order Anabantiformes commonly called the climbing gouramies or climbing perches. The family includes about 34 species. As labyrinth fishes, they possess a labyrinth organ, a structure in the fish's head which allows it to breathe atmospheric oxygen. Fish of this family are commonly seen gulping at air at the surface of the water. The air is held in a structure called the suprabranchial chamber, where oxygen diffuses into the bloodstream via the respiratory epithelium covering the labyrinth organ."
Anablepidae,"Anablepidae is a family of ray-finned fishes which live in brackish and freshwater habitats from southern Mexico to southern South America. There are three genera with sixteen species: the four-eyed fishes (genus Anableps), the onesided livebearers (genus Jenynsia) and the white-eye, Oxyzygonectes dovii. Fish of this family eat mostly insects and other invertebrates."
Anacanthobatidae,"The Anacanthobatidae, the smooth skates or leg skates, are a family of skates found at depths below 200 m (660 ft) in the Indian, Pacific and Atlantic Oceans. They lack the dorsal denticles (sharp, tooth-like scales) of other rays, hence their name, from Greek an- meaning ""without"", acantha meaning ""thorn"", and bathys meaning ""deep"". They are bottom-dwelling fishes found on the continental slopes of tropical and subtropical waters."
Anarhichadidae,"Anarhichadidae, the wolffishes, sea wolves or wolf eels, is a family of marine ray finned fishes belonging to the order Perciformes. These are predatory, eel shaped fishes which are native to the cold waters of the Arctic, North Pacific and North Atlantic Oceans."
Anguillidae,"The Anguillidae are a family of ray-finned fish that contains the freshwater eels. All the extant species and six subspecies in this family are in the genus Anguilla, and are elongated fish of snake-like bodies, with long dorsal, caudal and anal fins forming a continuous fringe. They are catadromous, spending their adult lives in freshwater, but migrating to the ocean to spawn. Eels are an important food fish and some species are now farm-raised, but not bred in captivity. Many populations in the wild are now threatened, and Seafood Watch recommend consumers avoid eating anguillid eels."
Anomalopidae,"Anomalopidae (lanterneye fishes or flashlight fishes) are a family of fish distinguished by bioluminescent organs located underneath their eyes, for which they are named. These light organs contain luminous bacteria and can be ""shut off"" by the fish using either a dark lid or by being drawn into a pouch. They are used to communicate, attract prey, and evade predators. Flashlight fish are found in tropical ocean waters across the world. They are typically about 14 cm (5.5 in) in size, although some species can reach twice this length."
Anoplogastridae,"Fangtooths are beryciform fish of the family Anoplogastridae (sometimes spelled ""Anoplogasteridae"") that live in the deep sea. The name comes from Ancient Greek ἄνοπλος (ánoplos), meaning ""shieldless"", and γαστήρ (gastḗr), meaning ""belly"". With a worldwide distribution in tropical and cold-temperate waters, the family contains only two very similar species in one genus, with no known close relatives."
Anoplopomatidae,"Anoplopomatidae, the sablefishes, are a small family of ray-finned fishes classified within the order Perciformes. These fishes are found in the North Pacific Ocean."
Anostomidae,"The Anostomidae are a family of ray-finned fishes that belong to the order Characiformes. Closely related to the Chilodidae and formerly included with them, the Anostomidae contain about 150 described species. Commonly known as anostomids, they are found in freshwater habitats from the Río Atrato in northernmost South America to warm-temperate central Argentina; they are of Amazon origin, with few found west of the Andes (mainly in Colombia and Venezuela). Their scientific name approximately means ""mouth on top"", from Ancient Greek áno- (ἄνω) ""up"" (as an adverb) + stóma (στόμᾶ) ""mouth"", in reference to the arrangement of these fishes' mouth opening."
Antennariidae,"Frogfishes are any member of the anglerfish family Antennariidae, of the order Lophiiformes. Antennariids are known as anglerfish in Australia, where the term ""frogfish"" refers to members of the unrelated family Batrachoididae. Frogfishes are found in almost all tropical and subtropical oceans and seas around the world, the primary exception being the Mediterranean Sea. Frogfishes are small, short and stocky, and sometimes covered in spinules and other appendages to aid in camouflage. The camouflage aids in protection from predators and enables them to lure prey."
Antigoniidae,"Antigoniidae, the deepwater boarfishes, is a family of marine ray-finned fishes belonging to the order Acanthuriformes. It contains a single extant genus. These fishes are found in the warmer oceans throughout the world."
Aphaniidae,"Aphaniidae, the Oriental killifishes, are a family of the order Cyprinodontiformes. The 42 extant species of the family inhabit inland waters, rivers and lagoons. The distribution of these species extends from the entire Mediterranean region throughout the neighboring states of the Red Sea and Persian Gulf to southwest India. Several species in this family have very small distributions and are seriously threatened."
Apistidae,"Apistinae, the wasp scorpionfishes, is a subfamily of venomous, marine ray-finned fishes belonging to the family Scorpaenidae, the scorpionfishes and related species. These fishes are native to the Indian Ocean and the western Pacific Ocean."
Aploactinidae,"Little velvetfishes or simply Velvetfishes are a subfamily, the Aploactininae, of marine ray-finned fishes classified within the family Synanceiidae of the suborder Scorpaenoidei. They are small fish that have skin with a velvet texture. They live on the sea bottom close to the shore, at depths of up to 100 metres (330 ft). They are found in the Indo-Pacific region."
Aplocheilidae,"Aplocheilidae, the Asian killifishes or Asian rivulines, is a family of fish in the order Cyprinodontiformes found in Asia. Some authorities use this family-group name, which is well-established, for a single lumped aplocheiloid family as it gives the nomenclature stability over time and avoids the impact of a new name at family rank for a popular aquarium fish group. Following this proposal, Aplocheilidae would include three subfamilies: Aplocheilinae for the species from Asia, Madagascar and the Seychelles; Cynolebiinae (formerly called Rivulidae) for the species from the Americas; and Nothobranchiinae for the species from the African mainland. However, the 5th edition of Fishes of the World still classifies these as separate families, and at least one 2008 study suggests that even the narrow Aplocheilidae may not be monophyletic, with Aplocheilus itself possibly being basal to all other Cyprinodontiforms and thus only distantly related to the younger Pachypanchax."
Aplodactylidae,"Aplodactylus is a genus of marine ray-finned fishes, commonly known as marblefishes or sea carps. It is the only genus in the monogeneric family, Aplodactylidae. The fishes in this genus are found in the south eastern Indian Ocean and the southern Pacific Ocean."
Apogonidae,"Cardinalfishes are a family, Apogonidae, of ray-finned fishes found in the Atlantic, Indian, and Pacific Oceans; they are chiefly marine, but some species are found in brackish water and a few (notably Glossamia) are found in fresh water. A handful of species are kept in aquariums and are popular as small, peaceful, and colourful fish. The family includes about 370 species. They are generally small fish, with most species being less than 10 cm (4 in), and are often brightly coloured. They are distinguished by their large mouths, and the division of the dorsal fin into two separate fins."
Apteronotidae,"The ghost knifefishes consist of the family Apteronotidae, which are ray-finned fishes in the order Gymnotiformes. These fish are native to Panama and South America. They inhabit a wide range of freshwater habitats, but more than half the species in the family are found deep in rivers (typically deeper than 5 m or 16 ft) where there is little or no light. The genus Apteronotus is ""artificial"" and some of the species do not actually belong in it; it is polyphyletic. They are distinguished from other gymnotiform fishes by the presence of a caudal fin (all other families lack a caudal or tail fin) as well as a fleshy dorsal organ represented by a longitudinal strip along the dorsal midline."
Aracanidae,"Aracanidae, the deep sea boxfishes or temperate boxfishes, are a family of marine ray-finned fishes belonong to the order Tetraodontiformes, which also includes the pufferfishes, triggerfishes and ocean sunfishes. The fishes in this family are found in the Indo-West Pacific region, particularly in the waters around Australia."
Argentinidae,"The herring smelts or argentines are a family, Argentinidae, of marine smelts. They are similar in appearance to smelts (family Osmeridae) but have much smaller mouths. They are found in oceans throughout the world. They are small fishes, growing up to 25 centimetres (9.8 in) long, except the greater argentine, Argentina silus, which reaches 70 centimetres (28 in). They form large schools close to the sea floor, and feed on plankton, especially krill, amphipods, small cephalopods, chaetognaths, and ctenophores."
Arhynchobatidae,"Arhynchobatidae is a family of skates whose members are commonly known as the softnose skates. It belongs to the order Rajiformes in the superorder Batoidea of rays. At least 104 species have been described, in 13 genera. Softnose skates have at times been placed in the same family as hardnose skates, but most recent authors recognize them as a distinct family. Members of the Arhynchobatidae can be distinguished from hardnose skates in having a soft and flexible snout, as well as a more or less reduced rostrum."
Ariidae,The Ariidae or ariid catfish are a family of catfish that mainly live in marine waters with many freshwater and brackish water species. They are found worldwide in tropical to warm temperate zones. The family includes about 143 species. The Ariidae are among the oldest known siluroid catfish known from fossil remains. Fossilized pectoral spines and skull bone fragments of ariid catfish are known from the Late Cretaceous (Campanian and Maastrichtian) of Argentina.
Ariommatidae,Ariommatidae is a family of marine ray-finned fishes which are classified within the suborder Stromateoidei of the order Scombriformes.
Arripidae,"Arripis is a genus of marine ray-finned fishes from Australia and New Zealand, known as Australian salmon, kahawai and Australian herring. They are the only members of the family Arripidae. Despite the common name, Australian salmon are not related to the salmon family Salmonidae of the Northern Hemisphere, just as Australian herring are not related to herring of the Northern Hemisphere, but belong to the order Scombriformes of mackerel-like fishes. Australian salmon were named so by early European settlers after their superficial resemblance to salmonids. Relatively long-lived fish, Australian salmon are a favoured target of recreational fishers, and both commercial and traditional Māori fisheries."
Artedidraconidae,"The Artedidraconinae, barbeled plunderfishes, are a subfamily of marine ray-finned fishes, notothenioids belonging to the Perciform suborder Notothenioidei and the family Harpagiferidae. The family comprises four genera. These fishes are endemic to deep waters off Antarctica."
Aspredinidae,"The Aspredinidae are a small South American family of catfishes (order Siluriformes) also known as the banjo catfishes, with about 43 species."
Astroblepidae,"Astroblepus is a genus of freshwater ray-finned fishes belonging to the family Astroblepidae, the climbing catfishes or naked sucker-mouth catfishes. This genus is the only genus in its family. These catfishes are primarily found in torrential streams in the Andean area. Astroblepus pholeter and A. riberae are troglobites adapted to living in subterranean water systems."
Ateleopodidae,"The jellynose fishes or tadpole fishes are the small order Ateleopodiformes. This group of ray-finned fish is monotypic, containing a single family Ateleopodidae. It has about a dozen species in four genera, but these enigmatic fishes are in need of taxonomic revision. The scientific name means ""Ateleopus-shaped"", from Ateleopus (the type genus) + the standard fish order suffix ""-formes"". It ultimately derives from Ancient Greek atelēs (ἀτελής, ""imperfect"") + pous (πούς, ""foot"") + Latin forma (""external form""), the Greek part in reference to the reduced pectoral and ventral fins of the jellynoses."
Atherinidae,"The Old World silversides are a family, Atherinidae, of fish in the order Atheriniformes. Atherinidae are abundant and considered bony fish (teleost) that are widespread globally, living in rivers, estuaries, and coastal waters. They occur worldwide in tropical and temperate waters. About two-thirds of the species are marine, and the remainder live in fresh water. The 74 species are in 13 genera."
Atherinopsidae,"The neotropical silversides are a family, Atherinopsidae, of fishes in the order Atheriniformes. About 112 species in 13 genera are distributed throughout the tropical and temperate waters of the New World, including both marine and freshwater habitats. The familiar grunions and Atlantic silverside belong to this family."
Auchenipteridae,"The driftwood catfishes are catfishes of the family Auchenipteridae. The two genera of the former family Ageneiosidae have been placed here, resulting in a grouping of about 125 species in about 22 genera. These fish are found in rivers from Panama to Argentina, commonly in river flood plains. All but one species have three pairs of barbels, with the nasal barbels absent. Most species have very small adipose fins."
Aulopidae,"The Aulopidae are a small family of aulopiform ray-finned fish. They are found in most tropical and subtropical oceans, such as the Atlantic, Mediterranean, and Pacific. The aulopids are commonly known as flagfins. The aulopids resemble lizardfishes in appearance, and range up to 60 cm (24 in) in length. They have large dorsal fins, the first ray of which is greatly extended."
Aulostomidae,"The trumpetfishes are three species of highly specialized, tubularly-elongated marine fishes in the genus Aulostomus, of the monogeneric family Aulostomidae. The trumpetfishes are members of the order Syngnathiformes, together with the seahorses and the similarly built, closely related cornetfishes. The genus name Aulostomus comes from Ancient Greek αὐλός (aulós), meaning ""flute"", and στόμα (stóma), meaning ""mouth"", referring to the trumpetfishes' tube-shaped snouts. ""Flutemouth"" is another less-common name for the members of the family (although this word is more often used to refer to closely related cornetfishes of the family Fistulariidae). Trumpetfishes are found in tropical waters worldwide, with two species in the Atlantic and one in the Indo-Pacific."
Badidae,"The Badidae, or the chameleonfishes, are a small family (containing about 30 species) of freshwater ray-finned fish in the order Anabantiformes. Their relationship to other members of the order was previously uncertain, with the 5th edition of Fishes of the World placing the family outside the order, alongside the Nandidae and Pristolepididae, in an unnamed and unranked but monophyletic clade. However, they are now placed in the anantiform suborder Nandoidei. Members of this family are small freshwater fish that are found in Bangladesh, Bhutan, China, India, Laos, Myanmar, Nepal, Pakistan and Thailand. The largest is Badis assamensis that reaches a standard length of up to 7.5 cm (3 in), while the smallest, Dario dario, does not exceed 2 cm (0.8 in)."
Bagridae,The Bagridae are a family of catfish that are native to Africa (Bagrus) and Asia (all other genera) from Japan to Borneo. It includes about 245 species. These fish are commonly known as naked catfishes or bagrid catfishes. Many large bagrids are important as a source of food. Some species are also kept as aquarium fishes.
Balistidae,"Triggerfish are about 40 species of often brightly colored marine ray-finned fishes belonging to the family Balistidae. Often marked by lines and spots, they inhabit tropical and subtropical oceans throughout the world, with the greatest species richness in the Indo-Pacific. Most are found in relatively shallow, coastal habitats, especially at coral reefs, but a few, such as the oceanic triggerfish (Canthidermis maculata), are pelagic. While several species from this family are popular in the marine aquarium trade, they are often notoriously ill-tempered."
Balitoridae,"Balitoridae, the hillstream loaches or river loaches, is a family, of small fish from South, Southeast and East Asia. The family includes about 202 species. They are sometimes sold as ""lizardfish"" or (in Germany) ""flossensaugers"". Many of the species are popular for aquaria; species in the genus Sewellia are most commonly sold in the aquaria trade. They have a number of similarities with the Cobitidae, their sibling family of ""loaches"", such as multiple barbels around the mouth."
Banjosidae,"Banjos is a genus of marine ray-finned fish, the only genus in the monotypic family Banjosidae, which is part of the order Acropomatiformes. They are native to the western Indian and the Atlantic coasts of Africa, and is made up of the three species of banjofishes."
Bathydraconidae,"The Bathydraconidae, or the Antarctic dragonfishes, are a family of marine ray-finned fishes, notothenioids belonging to the Perciform suborder Notothenioidei. The family comprises four genera. These fishes are endemic to deep waters off Antarctica."
Bathygadidae,"Bathygadidae is a family of rattails in the order Gadiformes, the species of which are found in Atlantic, Indian and Pacific Ocean. These species lives in great depths. The chin barbel is usually absent in the genus Bathygadus, when present, the barbel is tiny and difficult to see without magnification. In Gadomus the chin barbel is present, usually thick and long. It was formerly considered a subfamily of the Macrouridae, but is now better treated as its own family."
Bathylagidae,"The deep-sea smelts are any members of the family Bathylagidae, a distinct group of marine smelts. Deep-sea smelts are marine fishes found in deep waters throughout the oceans, down to 1,500 m (4,900 ft) in depth. They are small fishes, growing up to 25 cm (9.8 in) long. They feed on plankton, especially krill. Extinct genera known only from fossil remains include Quaesita from California, USA and Krumvirichthys from the Czech Republic."
Bathymasteridae,"Ronquils (sometimes spelt ronchils) is a small family marine ray-finned fish, the Bathymasteridae. These fishes are found only in Arctic and North Pacific waters. This family contains just seven species in three genera. The larger species are important to commercial fisheries as food fish. Ronquils are most closely related to the eelpouts and prowfish in the suborder Zoarcoidei of the order Scorpaeniformes."
Batrachoididae,"Batrachoididae  is the only family in the ray-finned fish order Batrachoidiformes . Members of this family are usually called toadfish or frogfish: both the English common name and scientific name refer to their toad-like appearance (batrakhos is Greek for frog). Toadfish are benthic ambush predators that favor sandy or muddy substrates where their cryptic coloration helps them avoid detection by their prey. Toadfish are well known for their ability to ""sing"", males in particular using the swim bladder as a sound-production device used to attract mates."
Bedotiidae,"Bedotiidae are a family of fish in the order Atheriniformes. They are closely related to the Australian rainbowfish family Melanotaeniidae, and were formerly placed in it as a subfamily, but are now considered a distinct family. They are commonly known as the Madagascar rainbowfish, Madagascan rainbowfish, or Malagasy rainbowfish due to their endemism to Madagascar. It includes two genera, Bedotia and Rheocles."
Belonidae,"Needlefish (family Belonidae) or long toms are piscivorous fishes primarily associated with very shallow marine habitats or the surface of the open sea. Some genera include species found in marine, brackish, and freshwater environments (e.g., Strongylura), while a few genera are confined to freshwater rivers and streams, including Belonion, Potamorrhaphis, and Xenentodon. Needlefish closely resemble North American freshwater gars (family Lepisosteidae) in being elongated and having long, narrow jaws filled with sharp teeth, and some species of needlefishes are referred to as gars or garfish despite being only distantly related to the true gars. In fact, the name ""garfish"" was originally used for the needlefish Belone belone in Europe and only later applied to the North American fishes by European settlers during the 18th century."
Bembridae,"Bembridae, the deep-water flatheads, are a family of bottom-dwelling ray-finned fishes. They are found in the Indian and western Pacific Oceans."
Bembropidae,"Bembropidae is a family of marine ray-finned fishes in the order Perciformes, native to the Atlantic, Indian, and Pacific Oceans."
Berycidae,"Berycidae is a small family of deep-sea fishes, related to the squirrelfishes. The family includes the alfonsinos and the nannygais. Berycids are found in both temperate and tropical waters around the world, between 10 and 1,300 m (33 and 4,265 ft) in depth, though mainly greater than 100 m (330 ft). They are typically red in colour, and measure up to 1 m (3.3 ft) in length. Distinguishing features include spiny scales and large eyes and mouths."
Blenniidae,"Combtooth blennies are blenniiformids; percomorph marine fish of the family Blenniidae, part of the order Blenniiformes. They are the largest family of blennies with around 401 known species in 58 genera. Combtooth blennies are found in tropical and subtropical waters in the Atlantic, Pacific and Indian Oceans; some species are also found in brackish and even freshwater environments."
Bothidae,"Bothidae or lefteye flounders are a family of flounders. They are called ""lefteye flounders"" because most species lie on the sea bottom on their right sides, with both eyes on their left sides. The family is also distinguished by the presence of spines on the snout and near the eyes. Lefteye flounders vary considerably in size between the more than 160 species, ranging from 4.5 cm (1.8 in) to 1.5 m (4.9 ft) in length."
Botiidae,"Botiidae, the pointface loaches, is a family of cypriniform ray-finned fishes from South, Southeast, and East Asia. Until recently they were placed in the true loach family Cobitidae, until Maurice Kottelat revised the loaches and re-elevated this taxon to family rank in 2012. The family includes about 56 species. The Botiids are more robust than most of their relatives in Cobitidae and tend to have a more or less arched back, yielding an altogether more fusiform shape. Botiids typically have a pointed snout of intermediate length, while many cobitids are remarkably stub-nosed."
Bovichtidae,"Bovichtidae, the temperate icefishes or thornfishes, is a family of marine ray-finned fishes, classified in the suborder Notothenioidei of the order Perciformes. They are native to coastal waters off Australia, New Zealand, and South America."
Bramidae,"Pomfrets are scombriform fish belonging to the family Bramidae. The family currently includes 20 species across seven genera. Several species are important food sources for humans, especially Brama brama in South Asia. The earlier form of the pomfret's name was ""pamflet"", a word which probably ultimately comes from Portuguese pampo, referring to various fish such as the blue butterfish (Stromateus fiatola). The fish meat is white in color."
Bregmacerotidae,"Codlets are a family, Bregmacerotidae, of cod-like fishes, containing the single genus Bregmaceros found in tropical and subtropical waters throughout the world. They are very small fishes, and even the largest, B. lanceolatus, reaches only 11.5 cm (4.5 in) in length. The codlets appear to be sister to all remaining Gadiformes lineages, even when attempting to account for possible long branch attraction. They are the only member of the suborder Bregmacerotoidei."
Bryconidae,"Bryconidae, also known as bryconids, is a family of freshwater fishes belonging to the order Characiformes. They are native to South America. Some species reach particularly large sizes for characins, with Salminus franciscanus being one of the largest characiforms overall. Genera:

Family Bryconidae Eigenmann, 1912
Subfamily Bryconinae Eigenmann, 1912
Genus Brycon Müller & Troschel, 1844
Genus Chilobrycon Géry & de Rham, 1981
Genus Henochilus Garman, 1890
Subfamily Salmininae Cockerell, 1915
Genus Salminus Agassiz, 1829
The earliest known fossil member of this group is †Brycon avus (Woodward, 1898) from the Oligocene-aged Tremembé Formation of Brazil. A slightly older potential specimen of B."
Butidae,"Butidae is a family of sleeper gobies in the order Gobiiformes. The family was formerly classified as a subfamily of the Eleotridae but the 5th Edition of Fishes of the World classifies it as a family in its own right. Molecular phylogenetic analyses have demonstrated that the Butidae are a sister clade to the clade containing the families Gobiidae and Gobionellidae and that the Eleotridae is a sister to both of these clades. This means that the Eloetridae as formerly classified was paraphyletic and that its subfamilies should be raised to the status of families. The species in the Butidae are largely restricted to tropical and sub-tropical waters of Africa, Asia, Australia, and Oceania."
Bythitidae,"The viviparous brotulas form a family, the Bythitidae, of ophidiiform fishes. They are known as viviparous brotulas as they generally bear live young, although there are indications that some species (at least Didymothallus criniceps) do not. They are generally infrequently seen, somewhat tadpole-like in overall shape and mostly about 5–10 cm (2–4 in) in length, but some species grow far larger and may surpass 60 cm (2 ft). Although many live near the coast in tropical or subtropical oceans, there are also species in deep water and cold oceans, for example Bythites. Thermichthys hollisi, which lives at depths of around 2,500 m (8,200 ft), is associated with thermal vents."
Caesionidae,"Lutjaninae is a subfamily of marine ray-finned fishes, one of four subfamilies classified within the family Lutjanidae, the snappers. It contains the true snappers and the fusiliers, the latter of which were previously placed in the family Caesionidae."
Callanthiidae,"Callanthiidae, the splendid perches  and groppos is a small family of marine ray-finned fishes in the order Spariformes. These fishes are mainly found in the Indo-Pacific but two species are found in the eastern Atlantic and Mediterranean."
Callichthyidae,"Callichthyidae is a family of catfishes (order Siluriformes), called armored catfishes due to the two rows of bony plates (or scutes) along the lengths of their bodies. It contains some of the most popular freshwater aquarium fish, such as many species in the genus Corydoras."
Callionymidae,"Dragonets are small percomorph marine fish of the diverse family Callionymidae (from the Greek kallis, ""beautiful"" and onyma, ""name"") found mainly in the tropical waters of the western Indo-Pacific. They are benthic organisms, spending most of their time near the sandy bottoms, at a depth of roughly two hundred meters. There exist 139 species of the fish, in nineteen genera. Due to similarities in morphology and behavior, dragonets are sometimes confused with members of the goby family. However, male dragonets can be differentiated from the goby by their very long dorsal fins, and females by their protruding lower jaws."
